Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
302,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.901401519800004,4.48443984985,184,1,E,Europe/Brussels,airport,OurAirports
304,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI,50.459202,4.45382,614,1,E,Europe/Brussels,airport,OurAirports
309,Liege Airport,Liege,Belgium,LGG,EBLG,50.63740158081055,5.443220138549805,659,1,E,Europe/Brussels,airport,OurAirports
340,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364,1,E,Europe/Berlin,airport,OurAirports
342,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.630401611328,9.9882297515869,53,1,E,Europe/Berlin,airport,OurAirports
345,Dusseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678,147,1,E,Europe/Berlin,airport,OurAirports
346,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487,1,E,Europe/Berlin,airport,OurAirports
351,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.5597,13.2877,122,1,E,Europe/Berlin,airport,OurAirports
415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,EETN,59.41329956049999,24.832799911499997,131,2,E,Europe/Tallinn,airport,OurAirports
421,Helsinki Vantaa Airport,Helsinki,Finland,HEL,EFHK,60.317199707031,24.963300704956,179,2,E,Europe/Helsinki,airport,OurAirports
446,Oulu Airport,Oulu,Finland,OUL,EFOU,64.930099487305,25.354600906372,47,2,E,Europe/Helsinki,airport,OurAirports
465,Belfast International Airport,Belfast,United Kingdom,BFS,EGAA,54.6575012207,-6.2158298492399995,268,0,E,Europe/London,airport,OurAirports
467,George Best Belfast City Airport,Belfast,United Kingdom,BHD,EGAC,54.618099212646484,-5.872499942779541,15,0,E,Europe/London,airport,OurAirports
