Route_ID,Source_Airport
1,LAS
2,LAX
3,AGP
4,AMS
5,ARN
6,ARN
7,BCN
8,BCN
9,BUD
10,CDG
11,CTA
12,CTA
13,CTA
14,CWL
15,DBV
16,DBV
17,DBV
18,DUB
19,DUS
20,DUS
21,DUS
22,DUS
23,DUS
24,DUS
25,DUS
26,DUS
27,DUS
28,DUS
29,DUS
30,DUS
31,DUS
32,DUS
33,DUS
34,DUS
35,FAO
36,FCO
37,FCO
38,HAM
39,HAM
40,HAM
41,HAM
42,HAM
43,HAM
44,HAM
45,HAM
46,HAM
47,HAM
48,HAM
49,HAM
50,HAM
51,HAM
52,HAM
53,HAM
54,HAM
55,HAM
56,HAM
57,HAM
58,HEL
59,KTW
60,LHR
61,LHR
62,LYS
63,MAD
64,MAD
65,MAN
66,MXP
67,MXP
68,NCE
69,NCE
70,PMI
71,PMI
72,PMI
73,PRG
74,PRG
75,SPU
76,SPU
77,SPU
78,TLS
79,TXL
80,TXL
81,TXL
82,TXL
83,TXL
84,TXL
85,TXL
86,TXL
87,TXL
88,TXL
89,VCE
90,VCE
91,VIE
92,VIE
93,WAW
94,WRO
95,BRU
96,FCO
97,GOT
98,LYS
99,LYS
100,LYS
101,LYS
102,LYS
103,LYS
104,MXP
105,NCE
106,PRG
107,TLS
108,VCE
109,ABZ
110,AGP
111,AMS
112,ARN
113,ATL
114,ATL
115,ATL
116,BCN
117,BCN
118,BHD
119,BRU
120,BUD
121,CDG
122,CDG
123,CDG
124,CDG
125,CPH
126,DEN
127,DEN
128,DEN
129,DEN
130,DEN
131,DFW
132,DFW
133,DFW
134,DFW
135,DFW
136,DFW
137,DFW
138,DFW
139,DFW
140,DFW
141,DFW
142,DFW
143,DFW
144,DUB
145,DUB
146,DUB
147,DUS
148,DUS
149,DUS
150,DUS
151,EDI
152,FCO
153,FCO
154,FCO
155,FRA
156,FRA
157,GLA
158,GOT
159,HAM
160,HEL
161,HEL
162,HEL
163,JFK
164,JFK
165,JFK
166,JFK
167,JFK
168,JFK
169,JFK
170,JFK
171,JFK
172,JFK
173,JFK
174,JFK
175,JFK
176,JFK
177,JFK
178,JFK
179,JFK
180,JFK
181,JFK
182,LAS
183,LAS
184,LAS
185,LAS
186,LAS
187,LAS
188,LAX
189,LAX
190,LAX
191,LAX
192,LAX
193,LAX
194,LAX
195,LAX
196,LAX
197,LAX
198,LAX
199,LCA
200,LGW
201,LGW
202,LHR
203,LHR
204,LHR
205,LHR
206,LHR
207,LHR
208,LHR
209,LHR
210,LHR
211,LHR
212,LHR
213,LHR
214,LHR
215,LHR
216,LHR
217,LHR
218,LHR
219,LHR
220,LHR
221,LHR
222,LHR
223,LHR
224,LHR
225,LHR
226,LHR
227,LHR
228,LHR
229,LHR
230,LHR
231,LHR
232,LHR
233,LHR
234,LHR
235,LHR
236,LHR
237,LHR
238,LHR
239,LHR
240,LHR
241,LHR
242,LHR
243,LHR
244,LHR
245,LHR
246,LHR
247,LHR
248,LIS
249,LUX
250,LYS
251,MAD
252,MAD
253,MAD
254,MAD
255,MAN
256,MAN
257,MAN
258,MAN
259,MCO
260,MCO
261,MCO
262,MCO
263,MCO
264,MCO
265,MUC
266,MXP
267,MXP
268,NCE
269,ORD
270,ORD
271,ORD
272,ORD
273,ORD
274,ORD
275,ORD
276,ORD
277,ORD
278,ORD
279,ORD
280,ORD
281,ORD
282,ORD
283,ORD
284,ORD
285,ORD
286,ORY
287,OTP
288,PRG
289,RTM
290,SEA
291,SEA
292,SEA
293,SEA
294,SEA
295,SEA
296,SEA
297,SEA
298,SFO
299,SFO
300,SFO
301,SFO
302,SFO
303,SFO
304,SOF
305,TLS
306,TXL
307,TXL
308,TXL
309,VCE
310,VIE
311,WAW
312,ZAG
313,AGP
314,AGP
315,AGP
316,AGP
317,AGP
318,AGP
319,ALC
320,ALC
321,ALC
322,ALC
323,ALC
324,ALC
325,ARN
326,ARN
327,BCN
328,BCN
329,BCN
330,BUD
331,CDG
332,CPH
333,CPH
334,CPH
335,CPH
336,CTA
337,CTA
338,CTA
339,CTA
340,DFW
341,DUS
342,DUS
343,DUS
344,DUS
345,DUS
346,DUS
347,DUS
348,DUS
349,DUS
350,DUS
351,DUS
352,DUS
353,DUS
354,DUS
355,DUS
356,DUS
357,DUS
358,DUS
359,DUS
360,DUS
361,DUS
362,DUS
363,DUS
364,DUS
365,DUS
366,FAO
367,FAO
368,FAO
369,FAO
370,FAO
371,FCO
372,FCO
373,FCO
374,FNC
375,FNC
376,FNC
377,FNC
378,FRA
379,FRA
380,FRA
381,FRA
382,FRA
383,FRA
384,FRA
385,FRA
386,FRA
387,FRA
388,GDN
389,GOT
390,GRZ
391,GRZ
392,HAM
393,HAM
394,HAM
395,HAM
396,HAM
397,HAM
398,HAM
399,HAM
400,HAM
401,HAM
402,HAM
403,HEL
404,HEL
405,HEL
406,HEL
407,HEL
408,HEL
409,INN
410,JFK
411,JFK
412,KRK
413,LAX
414,LCA
415,LGW
416,LHR
417,LHR
418,LHR
419,LHR
420,LHR
421,LHR
422,MAD
423,MAD
424,MAD
425,MAD
426,MAD
427,MLA
428,MUC
429,MUC
430,MUC
431,MUC
432,MUC
433,MUC
434,MUC
435,MUC
436,MUC
437,MUC
438,MUC
439,MUC
440,MUC
441,MUC
442,MXP
443,MXP
444,MXP
445,NCE
446,NCE
447,ORD
448,ORD
449,ORY
450,ORY
451,OTP
452,PDL
453,PMI
454,PMI
455,PMI
456,PMI
457,PMI
458,PMI
459,PMI
460,PMI
461,PMI
462,PMI
463,PMI
464,PMI
465,PMI
466,RIX
467,RIX
468,RIX
469,RIX
470,RIX
471,SOF
472,STN
473,SZG
474,SZG
475,SZG
476,SZG
477,SZG
478,SZG
479,TXL
480,TXL
481,TXL
482,TXL
483,TXL
484,TXL
485,TXL
486,TXL
487,TXL
488,TXL
489,TXL
490,TXL
491,TXL
492,TXL
493,TXL
494,TXL
495,TXL
496,TXL
497,TXL
498,TXL
499,TXL
500,TXL
501,TXL
502,TXL
503,TXL
504,TXL
505,TXL
506,TXL
507,TXL
508,TXL
509,TXL
510,TXL
511,VCE
512,VCE
513,VIE
514,VIE
515,VIE
516,VIE
517,VIE
518,VIE
519,VIE
520,VIE
521,VIE
522,VIE
523,VIE
524,VIE
525,VIE
526,VIE
527,VIE
528,VIE
529,VIE
530,VIE
531,VIE
532,VIE
533,VIE
534,WAW
535,AMS
536,ATL
537,CPH
538,CPH
539,CPH
540,DEN
541,FRA
542,FRA
543,GDN
544,LCA
545,MUC
546,VNO
547,VNO
548,WAW
549,ABZ
550,AGP
551,AMS
552,AMS
553,AMS
554,AMS
555,ARN
556,ATL
557,ATL
558,ATL
559,ATL
560,ATL
561,ATL
562,ATL
563,ATL
564,ATL
565,ATL
566,ATL
567,ATL
568,ATL
569,ATL
570,ATL
571,ATL
572,ATL
573,ATL
574,ATL
575,BCN
576,BCN
577,BLL
578,BRU
579,BRU
580,BRU
581,BUD
582,CDG
583,CDG
584,CDG
585,CDG
586,CDG
587,CDG
588,CDG
589,CDG
590,CDG
591,CDG
592,CDG
593,CDG
594,CDG
595,CDG
596,CDG
597,CDG
598,CDG
599,CDG
600,CDG
601,CDG
602,CDG
603,CDG
604,CDG
605,CDG
606,CDG
607,CDG
608,CDG
609,CDG
610,CDG
611,CDG
612,CDG
613,CDG
614,CDG
615,CDG
616,CDG
617,CDG
618,CDG
619,CDG
620,CDG
621,CDG
622,CDG
623,CDG
624,CDG
625,CPH
626,CWL
627,CWL
628,CWL
629,DEN
630,DFW
631,DUB
632,DUB
633,DUB
634,DUS
635,DUS
636,EDI
637,EDI
638,FCO
639,FCO
640,FCO
641,FCO
642,FCO
643,FRA
644,FRA
645,FRA
646,GLA
647,GOT
648,GOT
649,HAM
650,HAM
651,HEL
652,JFK
653,JFK
654,JFK
655,JFK
656,JFK
657,JFK
658,JFK
659,JFK
660,JFK
661,LAS
662,LAX
663,LAX
664,LCA
665,LHR
666,LHR
667,LHR
668,LHR
669,LIS
670,LJU
671,LUX
672,LYS
673,LYS
674,LYS
675,LYS
676,LYS
677,LYS
678,LYS
679,LYS
680,LYS
681,LYS
682,LYS
683,LYS
684,LYS
685,MAD
686,MAD
687,MAD
688,MAD
689,MAN
690,MAN
691,MCO
692,MLA
693,MLA
694,MLA
695,MLA
696,MUC
697,MUC
698,MXP
699,NCE
700,NCE
701,NCE
702,NCE
703,NCE
704,NCE
705,NCE
706,ORD
707,ORD
708,ORY
709,ORY
710,ORY
711,ORY
712,ORY
713,ORY
714,ORY
715,OTP
716,PMI
717,PRG
718,PRG
719,RIX
720,SEA
721,SEA
722,SEA
723,SFO
724,SFO
725,SOF
726,TLS
727,TLS
728,TLS
729,TLS
730,TLS
731,TLS
732,TLS
733,TLS
734,TXL
735,VCE
736,VCE
737,VCE
738,VCE
739,VIE
740,VIE
741,WAW
742,ZAG
743,JFK
744,LHR
745,ATL
746,ATL
747,ATL
748,ATL
749,ATL
750,ATL
751,ATL
752,BRU
753,CDG
754,CDG
755,CDG
756,DEN
757,FCO
758,JFK
759,MAD
760,MAD
761,MCO
762,SEA
763,SFO
764,AMS
765,CDG
766,CPH
767,CTA
768,CTA
769,CTA
770,CTA
771,CTA
772,CTA
773,CTA
774,CTA
775,CTA
776,DUS
777,LGW
778,LYS
779,MXP
780,PRG
781,TXL
782,VCE
783,VCE
784,VCE
785,VIE
786,ATL
787,ATL
788,DEN
789,DEN
790,DFW
791,DFW
792,DFW
793,JFK
794,JFK
795,JFK
796,LAS
797,LAX
798,LAX
799,LAX
800,LAX
801,LAX
802,LAX
803,LAX
804,LAX
805,MCO
806,MCO
807,ORD
808,ORD
809,ORD
810,SEA
811,SEA
812,SEA
813,SEA
814,SEA
815,SEA
816,SEA
817,SEA
818,SEA
819,SFO
820,SFO
821,SFO
822,SFO
823,SFO
824,TXL
825,AGP
826,AMS
827,AMS
828,AMS
829,ARN
830,ARN
831,ARN
832,ARN
833,ATL
834,BCN
835,BCN
836,BMA
837,BMA
838,BMA
839,BRU
840,BRU
841,BUD
842,CDG
843,CDG
844,CDG
845,CDG
846,CPH
847,CPH
848,CPH
849,CPH
850,CTA
851,CTA
852,CTA
853,DBV
854,DEN
855,DFW
856,DFW
857,DFW
858,DFW
859,DUB
860,DUB
861,DUS
862,DUS
863,DUS
864,DUS
865,DUS
866,FCO
867,FCO
868,FCO
869,FRA
870,FRA
871,FRA
872,GOT
873,GOT
874,GOT
875,HAM
876,HAM
877,HEL
878,HEL
879,HEL
880,HEL
881,HEL
882,HEL
883,HEL
884,HEL
885,HEL
886,HEL
887,HEL
888,HEL
889,HEL
890,HEL
891,HEL
892,HEL
893,HEL
894,HEL
895,HEL
896,HEL
897,HEL
898,HEL
899,HEL
900,HEL
901,HEL
902,HEL
903,HEL
904,HEL
905,HEL
906,HEL
907,HEL
908,HEL
909,HEL
910,JFK
911,JFK
912,JFK
913,JFK
914,JFK
915,JFK
916,JFK
917,JFK
918,JFK
919,KRK
920,LAS
921,LAS
922,LAX
923,LAX
924,LGW
925,LGW
926,LHR
927,LHR
928,LHR
929,LHR
930,LHR
931,LHR
932,LHR
933,LHR
934,LHR
935,LHR
936,LHR
937,LHR
938,LIS
939,LIS
940,LIS
941,LIS
942,LJU
943,MAD
944,MAD
945,MAD
946,MAD
947,MAD
948,MAD
949,MAN
950,MAN
951,MAN
952,MCO
953,MMX
954,MUC
955,MUC
956,MXP
957,MXP
958,NCE
959,ORD
960,ORD
961,ORD
962,ORD
963,ORD
964,ORD
965,ORD
966,OTP
967,OUL
968,PRG
969,RIX
970,SEA
971,SFO
972,SOF
973,SZG
974,SZG
975,SZG
976,TLL
977,TXL
978,TXL
979,TXL
980,TXL
981,TXL
982,TXL
983,TXL
984,TXL
985,VIE
986,VIE
987,VIE
988,VNO
989,WAW
990,AAL
991,ABZ
992,AGP
993,AMS
994,AMS
995,AMS
996,AMS
997,AMS
998,AMS
999,AMS
1000,AMS
1001,AMS
1002,AMS
1003,AMS
1004,AMS
1005,AMS
1006,ARN
1007,ARN
1008,ATL
1009,ATL
1010,ATL
1011,ATL
1012,ATL
1013,ATL
1014,ATL
1015,ATL
1016,ATL
1017,ATL
1018,BCN
1019,BCN
1020,BLL
1021,BLL
1022,BRU
1023,BUD
1024,CDG
1025,CDG
1026,CDG
1027,CDG
1028,CDG
1029,CDG
1030,CDG
1031,CDG
1032,CDG
1033,CDG
1034,CDG
1035,CDG
1036,CDG
1037,CDG
1038,CDG
1039,CDG
1040,CDG
1041,CDG
1042,CDG
1043,CDG
1044,CDG
1045,CDG
1046,CLJ
1047,CPH
1048,CPH
1049,CPH
1050,CPH
1051,CTA
1052,CTA
1053,CTA
1054,CTA
1055,CTA
1056,CTA
1057,CTA
1058,CTA
1059,CTA
1060,CTA
1061,CWL
1062,DEN
1063,DFW
1064,DUB
1065,DUS
1066,DUS
1067,DUS
1068,EDI
1069,FCO
1070,FCO
1071,FCO
1072,FCO
1073,FCO
1074,FCO
1075,FCO
1076,FCO
1077,FCO
1078,FCO
1079,FCO
1080,FCO
1081,FCO
1082,FCO
1083,FCO
1084,FCO
1085,FCO
1086,FCO
1087,FCO
1088,FCO
1089,FCO
1090,FCO
1091,FCO
1092,FCO
1093,FCO
1094,FCO
1095,FCO
1096,FCO
1097,FCO
1098,FCO
1099,FCO
1100,FCO
1101,FRA
1102,GLA
1103,GOT
1104,HAM
1105,HAM
1106,HEL
1107,IAS
1108,IAS
1109,JFK
1110,JFK
1111,JFK
1112,JFK
1113,JFK
1114,LAS
1115,LAX
1116,LAX
1117,LGW
1118,LHR
1119,LIS
1120,LIS
1121,LIS
1122,LIS
1123,LUX
1124,LUX
1125,LYS
1126,LYS
1127,LYS
1128,LYS
1129,MAD
1130,MAD
1131,MAN
1132,MCO
1133,MLA
1134,MUC
1135,MXP
1136,MXP
1137,MXP
1138,MXP
1139,MXP
1140,MXP
1141,MXP
1142,MXP
1143,MXP
1144,NCE
1145,NCE
1146,OPO
1147,OPO
1148,ORD
1149,ORD
1150,OTP
1151,OTP
1152,OTP
1153,OTP
1154,PMI
1155,PMI
1156,PRG
1157,PRG
1158,PRG
1159,RIX
1160,RIX
1161,RIX
1162,SEA
1163,SEA
1164,SFO
1165,SFO
1166,SOF
1167,SOF
1168,TLS
1169,TLS
1170,TLS
1171,TLS
1172,TSR
1173,TXL
1174,TXL
1175,TXL
1176,VCE
1177,VCE
1178,VCE
1179,VCE
1180,VCE
1181,VCE
1182,VCE
1183,VCE
1184,VCE
1185,VCE
1186,VCE
1187,VIE
1188,VIE
1189,WAW
1190,DEN
1191,JFK
1192,JFK
1193,JFK
1194,JFK
1195,JFK
1196,JFK
1197,JFK
1198,JFK
1199,LAS
1200,LAX
1201,MCO
1202,MXP
1203,ORD
1204,SEA
1205,SFO
1206,ABZ
1207,AGP
1208,AGP
1209,ALC
1210,AMS
1211,AMS
1212,ARN
1213,ATL
1214,ATL
1215,ATL
1216,BCN
1217,BCN
1218,BCN
1219,BHD
1220,BLL
1221,BLL
1222,BLL
1223,BLL
1224,BRU
1225,BRU
1226,BUD
1227,CDG
1228,CDG
1229,CDG
1230,CDG
1231,CPH
1232,CTA
1233,DBV
1234,DEN
1235,DFW
1236,DFW
1237,DFW
1238,DFW
1239,DFW
1240,DUB
1241,DUB
1242,DUB
1243,DUS
1244,DUS
1245,DUS
1246,EDI
1247,EDI
1248,FAO
1249,FAO
1250,FCO
1251,FCO
1252,FCO
1253,FCO
1254,FRA
1255,FRA
1256,FRA
1257,GLA
1258,GLA
1259,GOT
1260,GOT
1261,HAM
1262,HEL
1263,HEL
1264,HEL
1265,HEL
1266,HEL
1267,JFK
1268,JFK
1269,JFK
1270,JFK
1271,JFK
1272,JFK
1273,JFK
1274,JFK
1275,JFK
1276,JFK
1277,LAS
1278,LAS
1279,LAX
1280,LAX
1281,LCA
1282,LCA
1283,LGW
1284,LGW
1285,LGW
1286,LGW
1287,LGW
1288,LGW
1289,LGW
1290,LGW
1291,LGW
1292,LGW
1293,LGW
1294,LGW
1295,LGW
1296,LGW
